"column","original_class","analysis_family","non_missing","missing","unique_values","chart_1_type","chart_1_file","chart_2_type","chart_2_file"
"rank","integer","numeric",2640,0,219,"histogram","output/descriptive/histograms/rank_hist.png","boxplot","output/descriptive/boxplots/rank_boxplot.png"
"net_worth","integer","numeric",2640,0,219,"histogram","output/descriptive/histograms/net_worth_hist.png","boxplot","output/descriptive/boxplots/net_worth_boxplot.png"
"category","character","categorical",2640,0,18,"barplot_all_levels","output/descriptive/barplots/category_all_levels.png","",""
"personName","character","high_cardinality_categorical",2640,0,2638,"barplot_top10_levels","output/descriptive/barplots/personName_top10_levels.png","",""
"age","integer","numeric",2575,65,79,"histogram","output/descriptive/histograms/age_hist.png","boxplot","output/descriptive/boxplots/age_boxplot.png"
"country","character","high_cardinality_categorical",2602,38,78,"barplot_top10_levels","output/descriptive/barplots/country_top10_levels.png","",""
"city","character","high_cardinality_categorical",2568,72,741,"barplot_top10_levels","output/descriptive/barplots/city_top10_levels.png","",""
"source","character","high_cardinality_categorical",2640,0,906,"barplot_top10_levels","output/descriptive/barplots/source_top10_levels.png","",""
"industries","character","categorical",2640,0,18,"barplot_all_levels","output/descriptive/barplots/industries_all_levels.png","",""
"countryOfCitizenship","character","high_cardinality_categorical",2640,0,77,"barplot_top10_levels","output/descriptive/barplots/countryOfCitizenship_top10_levels.png","",""
"organization","character","high_cardinality_categorical",325,2315,294,"barplot_top10_levels","output/descriptive/barplots/organization_top10_levels.png","",""
"selfMade","logical","categorical",2640,0,2,"barplot_all_levels","output/descriptive/barplots/selfMade_all_levels.png","",""
"status","character","categorical",2640,0,6,"barplot_all_levels","output/descriptive/barplots/status_all_levels.png","",""
"gender","character","categorical",2640,0,2,"barplot_all_levels","output/descriptive/barplots/gender_all_levels.png","",""
"birthDate","character","date",2564,76,2060,"date_distribution","output/descriptive/barplots/birthDate_year_hist.png","",""
"lastName","character","high_cardinality_categorical",2640,0,1736,"barplot_top10_levels","output/descriptive/barplots/lastName_top10_levels.png","",""
"firstName","character","high_cardinality_categorical",2637,3,1770,"barplot_top10_levels","output/descriptive/barplots/firstName_top10_levels.png","",""
"title","character","high_cardinality_categorical",339,2301,97,"barplot_top10_levels","output/descriptive/barplots/title_top10_levels.png","",""
"date","character","date",2640,0,2,"date_distribution","output/descriptive/barplots/date_date_counts.png","",""
"state","character","high_cardinality_categorical",753,1887,45,"barplot_top10_levels","output/descriptive/barplots/state_top10_levels.png","",""
"residenceStateRegion","character","categorical",747,1893,5,"barplot_all_levels","output/descriptive/barplots/residenceStateRegion_all_levels.png","",""
"birthYear","integer","numeric",2564,76,77,"histogram","output/descriptive/histograms/birthYear_hist.png","boxplot","output/descriptive/boxplots/birthYear_boxplot.png"
"birthMonth","integer","numeric",2564,76,12,"histogram","output/descriptive/histograms/birthMonth_hist.png","boxplot","output/descriptive/boxplots/birthMonth_boxplot.png"
"birthDay","integer","numeric",2564,76,31,"histogram","output/descriptive/histograms/birthDay_hist.png","boxplot","output/descriptive/boxplots/birthDay_boxplot.png"
"cpi_country","numeric","numeric",2456,184,63,"histogram","output/descriptive/histograms/cpi_country_hist.png","boxplot","output/descriptive/boxplots/cpi_country_boxplot.png"
"cpi_change_country","numeric","numeric",2456,184,44,"histogram","output/descriptive/histograms/cpi_change_country_hist.png","boxplot","output/descriptive/boxplots/cpi_change_country_boxplot.png"
"gdp_country","character","numeric_like_text",2476,164,68,"histogram","output/descriptive/histograms/gdp_country_hist.png","boxplot","output/descriptive/boxplots/gdp_country_boxplot.png"
"gross_tertiary_education_enrollment","numeric","numeric",2458,182,63,"histogram","output/descriptive/histograms/gross_tertiary_education_enrollment_hist.png","boxplot","output/descriptive/boxplots/gross_tertiary_education_enrollment_boxplot.png"
"gross_primary_education_enrollment_country","numeric","numeric",2459,181,60,"histogram","output/descriptive/histograms/gross_primary_education_enrollment_country_hist.png","boxplot","output/descriptive/boxplots/gross_primary_education_enrollment_country_boxplot.png"
"life_expectancy_country","numeric","numeric",2458,182,54,"histogram","output/descriptive/histograms/life_expectancy_country_hist.png","boxplot","output/descriptive/boxplots/life_expectancy_country_boxplot.png"
"tax_revenue_country_country","numeric","numeric",2457,183,57,"histogram","output/descriptive/histograms/tax_revenue_country_country_hist.png","boxplot","output/descriptive/boxplots/tax_revenue_country_country_boxplot.png"
"total_tax_rate_country","numeric","numeric",2458,182,63,"histogram","output/descriptive/histograms/total_tax_rate_country_hist.png","boxplot","output/descriptive/boxplots/total_tax_rate_country_boxplot.png"
"population_country","integer","numeric",2476,164,68,"histogram","output/descriptive/histograms/population_country_hist.png","boxplot","output/descriptive/boxplots/population_country_boxplot.png"
"latitude_country","numeric","numeric",2476,164,68,"histogram","output/descriptive/histograms/latitude_country_hist.png","boxplot","output/descriptive/boxplots/latitude_country_boxplot.png"
"longitude_country","numeric","numeric",2476,164,68,"histogram","output/descriptive/histograms/longitude_country_hist.png","boxplot","output/descriptive/boxplots/longitude_country_boxplot.png"
